username,verified,followersCount,content,date,country,replyCount,retweetCount,likeCount,url,hashtags
vegardwikeby,False,3617,"To understand Bitcoin, you must first acknowledge in your mind that Satoshi Nakamoto already knew what Bitcoin was before it was officially created into this world.

When one understands that, one also understands that SN knew what Bitcoin was going to be.",2020-12-30 09:03:58+00:00,Argentina,5,1,13,https://twitter.com/vegardwikeby/status/1344207591791075329,[]
bitcoin216,False,238,"Bitcoin Price Records a New All-Time High at Over $28.5K, Wall Street Veteran Bets on Buying Any Dip https://t.co/AGtf3GdKXd",2020-12-30 23:55:49+00:00,Argentina,0,0,0,https://twitter.com/bitcoin216/status/1344432032600961026,[]
amitjain13,False,1198,Bitcoin is Poised to Continue Surging as Recent Altcoin Rally Pauses https://t.co/oYz2Iey3WA https://t.co/rT4FvyLh5e,2020-12-30 23:59:00+00:00,Argentina,0,0,0,https://twitter.com/amitjain13/status/1344432835227217926,[]
secchone,False,108,"#Bitcoin is to expensive... 😅
Stacking $BTC Art 🤘 https://t.co/rcfsesCwB8",2020-12-30 23:51:45+00:00,Argentina,0,0,0,https://twitter.com/secchone/status/1344431010809860104,['Bitcoin']
_mere1k,False,1776,My dumb ass ain’t buy enough Bitcoin now my stomach hurt looking at that shit at 22k rn🤢 I’m sick inside,2020-12-18 00:00:44+00:00,United States,0,0,1,https://twitter.com/_mere1k/status/1339722227877621761,[]
ntfri,False,3924,"Mount #Bitcoin , close to 29k. $btc $btcusd #cryptocurrency https://t.co/CwkOFTW2Bp",2020-12-30 23:37:32+00:00,Argentina,0,0,0,https://twitter.com/ntfri/status/1344427429964763141,"['Bitcoin', 'cryptocurrency']"
sethkn,False,241,"So let me guess this straight. 80,000 dragonchain tokens were awarded to node runners over the last 30 days? Why is this token price so low? This crypto company is making progress and platform is clearly operational. $btc $drgn $eth #cryptocurrency https://t.co/8E7Qg20Lbm",2020-12-16 17:00:48+00:00,Mexico,0,0,2,https://twitter.com/sethkn/status/1339254161037271041,['cryptocurrency']
LeahNJonas,False,6041,Bitcoin is digital gold and there’s nothing that will provide more freedom or autonomy in the future than owning it. It’s as simple as that.,2020-06-07 20:35:47+00:00,Canada,2,3,6,https://twitter.com/LeahNJonas/status/1269729791390998532,[]
DanyFullwood,False,510,I PULLED OUT OF BITCOIN ! $Btc might go back in...idk 🤷🏽‍♀️🥺,2020-03-16 14:01:37+00:00,Canada,0,0,0,https://twitter.com/DanyFullwood/status/1239552405253095430,[]
CrisRamCrypto,False,98,"Every passing day, the probabilities of higher highs fade - #BTCUSD chart https://t.co/VpNEyzzMMA",2020-12-30 23:03:41+00:00,Argentina,0,0,0,https://twitter.com/CrisRamCrypto/status/1344418911127625729,['BTCUSD']
dazedksunoo,False,301,The CEO of Ripple has admitted that $XRP has experienced market manipulation by a discord server the past few days! They made a lot of money! 👉 https://t.co/1ExeT30jrp $Btc $eth $grt https://t.co/zzAyycGOTU,2020-12-30 23:47:42+00:00,Argentina,0,0,0,https://twitter.com/dazedksunoo/status/1344429991040225280,[]
clintbeastwoody,False,174,Hunter S Thompson invented bitcoin.  Proof? Satoshi Nakamoto is Japanese for Raoul Duke.,2020-12-30 01:47:17+00:00,Argentina,0,0,0,https://twitter.com/clintbeastwoody/status/1344097697758916608,[]
edward_gorbis,False,588,The real question is @FrancisSuarez Satoshi Nakamoto. Was this your master plan all along 😜 https://t.co/drENszi3LW,2020-12-29 19:08:24+00:00,Argentina,0,0,0,https://twitter.com/edward_gorbis/status/1343997313065299969,[]
art0ftrading,False,3999,Bitcoin holders are about to become a weird combination of degenerate cartoon avatars &amp; wall street elite. Don't sell em cheap boys! $btc,2020-12-30 23:33:50+00:00,Argentina,0,0,4,https://twitter.com/art0ftrading/status/1344426498950762496,[]
AngQuibranza,False,241,ALL-TIME HIGH #bitcoin,2020-11-30 14:57:52+00:00,Israel,0,0,2,https://twitter.com/AngQuibranza/status/1333425018341003264,['bitcoin']
TrapChefJayATL,False,304,And idc how much the Bitcoin is I’m just glad it’s from bae 😂,2020-12-17 23:57:38+00:00,United States,0,0,0,https://twitter.com/TrapChefJayATL/status/1339721447196012546,[]
KodyLinnear,False,211,Buy bitcoin...NOW,2020-12-26 18:31:55+00:00,Mexico,0,0,0,https://twitter.com/KodyLinnear/status/1342900968481058818,[]
bitcoin_brown,False,78842,"LIVE FOOTAGE OF ME #HODL'ing THESE BAGS:

$BTC $ETH $DOT $RSR $LINK $COTI $NOIA $XRT $PHA $ROSE $PCX $DIA $BONDLY $TVK $POLS $XED https://t.co/kJk1A8782F",2020-12-30 23:49:26+00:00,Argentina,10,3,65,https://twitter.com/bitcoin_brown/status/1344430425628962816,['HODL']
arthurbouquet,False,866,"Q: Is this related to Bitcoin?

A: No. Satoshi Nakamoto is the pseudonym used by the person who created Bitcoin, but it’s not the same Satoshi.",2020-12-30 12:13:54+00:00,Argentina,1,1,1,https://twitter.com/arthurbouquet/status/1344255389420965889,[]
EndogHoki,False,209,This morning $BTC got pumped by a trading group that also pumped $eth and $xrp. Pretty insane how that's possible! I guess 180k people can do that. https://t.co/VdOfmERLVf https://t.co/Kl4wa2LwYM https://t.co/MfYZ22etMT,2020-12-30 23:53:04+00:00,Argentina,0,0,0,https://twitter.com/EndogHoki/status/1344431338170904577,[]
green_lantern5,False,64,"@rogerkver @wisewizzz @bch_pls Bitcoin cash : A Peer-to-Peer Electronic Cash System

Satoshi Nakamoto's original vision",2020-12-29 15:52:46+00:00,Argentina,0,1,4,https://twitter.com/green_lantern5/status/1343948080794648577,[]
Rroufa87,False,49,@CUDOS_ I love airdrop #Cudos #Bitcoin #Crypto #DeFi,2020-12-25 08:02:06+00:00,Mauritius,0,0,0,https://twitter.com/Rroufa87/status/1342380082871095296,"['Cudos', 'Bitcoin', 'Crypto', 'DeFi']"
